"cohort_start_date","n"
2024-05-29,9
2022-08-27,5
2022-02-16,10
2022-04-04,26
2022-08-30,5
2021-08-26,15
2023-04-06,16
2022-08-13,5
2024-01-20,5
2023-04-20,37
2021-06-20,38
2025-01-17,5
2023-10-05,51
2024-06-18,5
2022-12-13,19
2023-09-09,8
2021-08-31,8
2025-04-24,17
2021-12-24,47
2024-05-23,14
2022-02-24,8
2021-05-02,32
2021-03-18,137
2024-12-21,5
2025-01-14,6
2021-07-21,10
2021-09-17,11
2023-07-05,5
2023-05-18,17
2023-06-05,6
2021-12-18,173
2025-01-02,6
2021-07-16,13
2021-06-30,29
2023-11-21,44
2022-01-29,23
2020-12-14,25
2022-10-03,55
2021-11-19,85
2024-12-04,15
2021-03-21,82
2023-01-10,5
2024-09-27,5
2022-05-20,14
2023-10-13,49
2021-06-15,44
2022-11-25,41
2021-12-20,219
2022-08-18,5
2024-12-24,5
2024-06-06,9
2022-12-08,23
2024-01-09,5
2021-08-01,5
2024-05-15,28
2025-02-11,5
2024-10-19,57
2024-05-13,15
2023-03-06,5
2023-06-06,6
2021-12-17,202
2024-11-14,29
2022-01-12,53
2021-03-24,105
2022-11-22,47
2022-07-29,5
2023-03-30,5
2022-07-28,5
2024-06-07,13
2021-07-25,9
2022-04-29,26
2023-05-09,31
2021-10-31,58
2022-03-06,7
2022-10-19,71
2021-09-30,65
2024-10-04,24
2022-10-01,86
2023-06-19,5
2024-04-19,28
2024-01-24,5
2021-03-27,106
2024-11-17,17
2024-10-24,47
2022-09-07,30
2022-01-06,79
2025-04-25,19
2024-12-02,23
2024-03-28,5
2023-12-16,7
2021-01-07,47
2024-10-28,47
2021-05-10,61
2021-09-21,29
2024-09-26,6
2024-12-01,5
2023-02-03,5
2025-05-09,25
2023-03-26,5
2022-07-09,8
2024-05-28,12
2023-12-12,20
2023-12-15,9
2022-10-04,62
2023-04-21,32
2021-08-04,12
2024-06-16,5
2022-06-03,5
2022-09-19,28
2023-11-06,32
2023-01-04,7
2021-08-17,14
2022-02-08,22
2024-04-09,8
2022-10-02,51
2020-12-28,5
2023-01-21,5
2022-01-05,109
2023-01-09,5
2022-09-05,35
2024-01-13,5
2022-09-11,9
2021-12-31,43
2021-04-13,52
2021-04-06,45
2022-02-27,8
2022-05-22,10
2022-06-06,12
2022-12-29,6
2024-12-22,5
2024-01-03,5
2021-07-14,22
2023-12-13,8
2022-05-29,7
2022-02-03,20
2022-11-29,49
2022-12-07,30
2023-04-13,31
2021-10-23,112
2022-03-07,7
2021-09-10,9
2024-04-21,7
2023-09-19,37
2021-12-27,96
2022-02-01,29
2023-11-01,34
2022-03-30,28
2022-01-13,41
2021-11-25,106
2022-05-02,14
2021-07-30,11
