"result_id","cdm_name","group_name","group_level","strata_name","strata_level","variable_name","variable_level","estimate_name","estimate_type","estimate_value","additional_name","additional_level"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_026","density_x","numeric","533.911937377691","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_026","density_y","numeric","0.000297559700147851","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_027","density_x","numeric","554.708414872798","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_027","density_y","numeric","0.000294268080778423","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_028","density_x","numeric","575.504892367906","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_028","density_y","numeric","0.000290826514366909","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_029","density_x","numeric","596.301369863014","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_029","density_y","numeric","0.000287268026798548","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_030","density_x","numeric","617.097847358121","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_030","density_y","numeric","0.00028362253088813","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_031","density_x","numeric","637.894324853229","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_031","density_y","numeric","0.000279916869535868","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_032","density_x","numeric","658.690802348337","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_032","density_y","numeric","0.000276174766039778","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_033","density_x","numeric","679.487279843444","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_033","density_y","numeric","0.000272419952982443","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_034","density_x","numeric","700.283757338552","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_034","density_y","numeric","0.000268675379537149","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_035","density_x","numeric","721.080234833659","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_035","density_y","numeric","0.000264954049359686","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_036","density_x","numeric","741.876712328767","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_036","density_y","numeric","0.000261266980778221","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_037","density_x","numeric","762.673189823875","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_037","density_y","numeric","0.000257623380550669","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_038","density_x","numeric","783.469667318982","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_038","density_y","numeric","0.000254030815178152","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_039","density_x","numeric","804.26614481409","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_039","density_y","numeric","0.000250504437444096","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_040","density_x","numeric","825.062622309198","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_040","density_y","numeric","0.000247046642608225","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_041","density_x","numeric","845.859099804305","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_041","density_y","numeric","0.000243655328962179","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_042","density_x","numeric","866.655577299413","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_042","density_y","numeric","0.000240332518469688","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_043","density_x","numeric","887.45205479452","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_043","density_y","numeric","0.000237079610461856","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_044","density_x","numeric","908.248532289628","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_044","density_y","numeric","0.000233897459956283","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_045","density_x","numeric","929.045009784736","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_045","density_y","numeric","0.000230789917882293","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_046","density_x","numeric","949.841487279843","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_046","density_y","numeric","0.000227765853312827","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_047","density_x","numeric","970.637964774951","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_047","density_y","numeric","0.000224811904477915","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_048","density_x","numeric","991.434442270059","overall","overall"
"2","cdm_gold_202507","observation_period_ordinal","all","overall","overall","Duration in days","density_048","density_y","numeric","0.000221927075315634","overall","overall"
