"cohort_start_date","n"
2024-06-05,8
2021-09-15,20
2024-09-23,5
2023-09-07,10
2021-05-07,103
2022-03-14,9
2024-12-31,5
2022-02-13,17
2021-07-20,70
2022-10-16,44
2023-12-29,6
2022-02-28,11
2022-08-09,5
2023-06-22,5
2022-04-12,47
2022-03-09,12
2024-05-08,18
2023-10-23,49
2021-05-01,87
2021-10-05,58
2022-08-14,5
2022-01-20,28
2022-09-20,53
2021-05-06,136
2020-12-07,5
2022-05-21,12
2021-04-16,147
2021-10-26,87
2023-02-18,5
2022-08-11,5
2024-06-01,8
2024-10-18,40
2023-06-07,10
2025-04-11,6
2023-10-15,13
2023-01-26,5
2024-05-11,23
2021-12-15,198
2022-03-16,10
2024-02-03,5
2024-04-24,29
2021-08-28,34
2022-12-04,15
2022-01-11,69
2020-12-08,5
2025-04-08,12
2022-09-10,44
2021-05-23,73
2020-12-20,15
2023-10-10,72
2021-04-18,55
2024-10-29,51
2023-07-06,5
2025-04-28,15
2021-07-18,39
2025-04-01,16
2021-05-20,139
2021-03-11,117
2021-04-02,113
2024-10-23,51
2023-02-16,5
2022-10-07,71
2023-01-30,5
2023-05-31,21
2023-01-17,5
2022-11-08,76
2023-04-29,36
2023-06-23,5
2024-06-03,7
2022-06-16,9
2021-11-03,90
2022-05-28,8
2021-08-12,57
2022-07-10,5
2023-11-30,35
2022-04-03,14
2022-09-12,27
2022-02-12,25
2023-10-04,53
2023-11-04,33
2024-05-19,5
2023-11-09,44
2022-09-17,26
2021-04-27,165
2024-04-18,31
2022-05-24,15
2021-01-29,109
2021-01-01,9
2021-12-16,192
2022-05-25,16
2022-01-18,33
2022-08-16,6
2021-01-06,41
2024-04-04,14
2024-06-17,5
2022-11-16,48
2022-10-15,129
2022-12-11,16
2023-11-03,40
2023-05-03,29
2022-01-27,15
2021-02-02,137
2021-08-27,31
2022-01-03,65
2021-10-17,63
2023-10-19,49
2023-02-08,5
2021-08-03,54
2022-12-01,27
2025-01-06,5
2022-04-22,30
2023-04-24,27
2024-10-07,29
2023-04-28,37
2023-05-04,30
2024-11-28,26
2020-12-15,26
2021-11-13,96
2025-02-18,5
